rn_user|time|name|lock|lock_time|itogotem|itogomsg|repa|kosyaki|nikname|ip|rezerved|
10000|1452172432|WR|0||1|1|0|0|Разработчик скрипта|127.0.0.1||
76883||peretyazhka_nuki|0||0|0|0|0||91.201.113.207||
69180||Prodvizhen_zwMn|0||0|0|0|0||91.205.168.135||
54966|1706504143|LeslieInvop|0||1|1|5|0||194.156.97.130||
24289||Hrheape|0||0|0|0|0||87.225.101.4||
18011||MichaelJog|0||0|0|0|0||196.196.53.29||
36033|1708909146|Raymondirord|0||1|1|5|0||188.126.94.250||
79113||Domodigital_wnPi|0||0|0|0|0||91.205.168.253||
71925||AlexandrPro|0||0|0|0|0||188.19.255.40||
91829||Peterpat|0||0|0|0|0||94.25.172.214||
82104||PatrickJar|0||0|0|0|0||45.132.194.3||
49415|1714923037|Tobiasaleft|0||2|2|10|0||37.46.113.247||
59092||MikhailRE|0||0|0|0|0||84.54.44.213||
59216||MikhailV|0||0|0|0|0||77.238.250.151||
34861||MikhailRS|0||0|0|0|0||77.238.233.155||
65434||AlexProfmails|0||0|0|0|0||188.17.159.227||
75265||AlexProfi|0||0|0|0|0||188.17.159.227||
74021||RichardAlkap|0||0|0|0|0||64.176.68.83||
71604||AleksMoney|0||0|0|0|0||188.17.159.227||
97593||DavidDet|0||0|0|0|0||194.158.192.91||
57147|1719708730|X22Crach|0||2|2|10|0||93.170.204.114||
94560||OptomTov|0||0|0|0|0||188.17.159.227||
14443||ProdvigenieSaytov|0||0|0|0|0||88.218.60.231||
11554||MichaelFek|0||0|0|0|0||149.102.232.66||
73982||Thomasnok|0||0|0|0|0||84.239.40.217||
10669||Dallasfok|0||0|0|0|0||92.37.254.229||
60387||Dzxlasfok|0||0|0|0|0||92.37.186.166||
93122|1739597698|Michaelninee|0||1|0|4|0||94.25.172.253||
15117|1739597705|VincentLed|0||0|-1|-1|0||94.25.168.127||
58078|1737545691|DavidVat|0||0|1|1|0||46.246.93.10||
11278||AntoniomoB|0||0|0|0|0||94.25.175.208||
73473||Eugenegow|0||0|0|0|0||185.195.65.101||
62098||JaredHah|0||0|0|0|0||94.25.175.110||
47697||ThurmanGut|0||0|0|0|0||185.195.65.101||
68695|1738073025|alexus030|0||1|1|5|0||185.107.56.46||
